ds,actual,baseline,lower_95,upper_95,lift_abs,lift_pct,period
2024-11-05,2588.0,1369.22,1287.72,1540.33,1218.78,89.01,event
2024-11-06,2451.0,1232.66,1139.33,1418.58,1218.34,98.84,event
2024-11-07,2003.0,1157.42,1073.11,1330.76,845.58,73.06,event
2024-11-08,2280.0,1201.13,1126.1,1496.46,1078.87,89.82,event
2024-11-09,2334.0,1316.12,1241.86,1526.86,1017.88,77.34,event
2024-11-10,2530.0,1430.09,1353.51,1684.67,1099.91,76.91,event
2024-11-11,2737.0,1449.89,1373.98,1718.87,1287.11,88.77,event
2024-11-12,2564.0,1381.79,1310.38,1663.24,1182.21,85.56,event
2024-11-13,2017.0,1245.64,1162.91,1546.23,771.36,61.92,post-event
2024-11-14,2314.0,1170.83,1097.58,1462.6,1143.17,97.64,post-event
2024-11-15,2357.0,1215.02,1151.47,1632.16,1141.98,93.99,post-event
2024-11-16,2285.0,1330.53,1268.09,1665.85,954.47,71.74,post-event
2024-11-17,2646.0,1445.07,1380.62,1826.35,1200.93,83.11,post-event
2024-11-18,2717.0,1465.46,1401.92,1862.71,1251.54,85.4,post-event
2024-11-19,2544.0,1397.97,1339.1,1808.63,1146.03,81.98,post-event
2024-11-20,2200.0,1262.74,1192.66,1692.82,937.26,74.22,post-event
2024-11-21,2043.0,1188.36,1127.79,1609.29,854.64,71.92,post-event
2024-11-22,2193.0,1233.26,1182.35,1778.4,959.74,77.82,post-event
2024-11-23,2580.0,1349.48,1299.57,1811.04,1230.52,91.18,post-event
2024-11-24,2706.0,1464.76,1412.66,1969.77,1241.24,84.74,post-event
2024-11-25,2633.0,1485.85,1434.41,2003.66,1147.15,77.21,post-event
2024-11-26,2657.0,1419.18,1372.1,1946.44,1237.82,87.22,post-event
2024-11-27,1911.0,1284.73,1226.05,1826.77,626.27,48.75,post-event
2024-11-28,2344.0,1211.1,1161.47,1738.64,1132.9,93.54,post-event
2024-11-29,1988.0,1256.79,1216.32,1902.65,731.21,58.18,post-event
2024-11-30,2402.0,1373.77,1333.73,1929.5,1028.23,74.85,post-event
2024-12-01,2509.0,1489.8,1446.94,2081.97,1019.2,68.41,post-event
2024-12-02,2542.0,1511.68,1468.81,2108.82,1030.32,68.16,post-event
2024-12-03,2755.0,1445.69,1406.45,2044.18,1309.31,90.57,post-event
2024-12-04,2295.0,1311.68,1260.08,1916.45,983.32,74.97,post-event
2024-12-05,2273.0,1239.0,1195.66,1820.2,1034.0,83.45,post-event
2024-12-06,1271.0,1285.13,1250.1,1975.32,-14.13,-1.1,post-event
2024-12-07,1433.0,1402.99,1367.58,1993.34,30.01,2.14,post-event
2024-12-08,1522.0,1519.61,1480.54,2136.49,2.39,0.16,post-event
2024-12-09,1446.0,1542.06,1502.11,2153.95,-96.06,-6.23,post-event
2024-12-10,1551.0,1476.59,1439.42,2079.51,74.41,5.04,post-event
2024-12-11,1305.0,1343.1,1292.71,1942.15,-38.1,-2.84,post-event
2024-12-12,1143.0,1270.9,1227.95,1836.17,-127.9,-10.06,post-event
2024-12-13,1266.0,1317.64,1282.18,1981.63,-51.64,-3.92,post-event
